q_bond_0,q_bond_5,bond_local_idx,bond_global_idx,optimal_prob_bid,optimal_prob_ask,optimal_delta_bid,optimal_delta_ask
-35000.0,-30000.0,0,0,0.44179323,0.07238497,0.05856248,0.33950633
-35000.0,-24000.0,0,0,0.44179323,0.07539444,0.05856248,0.33040446
-35000.0,-18000.0,0,0,0.44179323,0.08017731,0.05856248,0.31707072
-35000.0,-12000.0,0,0,0.44084176,0.08338649,0.058939077,0.3088132
-35000.0,-6000.0,0,0,0.4382631,0.0829137,0.0599575,0.3099977
-35000.0,0.0,0,0,0.43221292,0.08512337,0.062334385,0.30455184
-35000.0,6000.0,0,0,0.4254734,0.087386355,0.064963475,0.29920292
-35000.0,12000.0,0,0,0.41860574,0.09118007,0.06762504,0.29071307
-35000.0,18000.0,0,0,0.40445662,0.09273708,0.073065214,0.28738943
-35000.0,24000.0,0,0,0.37648994,0.10875661,0.08373427,0.25767413
-35000.0,30000.0,0,0,0.33184162,0.14555536,0.10099563,0.20983742
-28000.0,-30000.0,0,0,0.44179323,0.07220894,0.05856248,0.34005725
-28000.0,-24000.0,0,0,0.44179323,0.07353482,0.05856248,0.3359586
-28000.0,-18000.0,0,0,0.44043326,0.07820966,0.059100643,0.32239887
-28000.0,-12000.0,0,0,0.43219686,0.08315502,0.062340688,0.30939174
-28000.0,-6000.0,0,0,0.4268255,0.08451751,0.064437464,0.30602252
-28000.0,0.0,0,0,0.41979453,0.08676588,0.06716545,0.30064744
-28000.0,6000.0,0,0,0.41207603,0.09047555,0.070141904,0.29224688
-28000.0,12000.0,0,0,0.39260212,0.093867525,0.07759352,0.28503126
-28000.0,18000.0,0,0,0.36375,0.11215502,0.08860251,0.2522462
-28000.0,24000.0,0,0,0.309275,0.1476293,0.1100956,0.20770237
-28000.0,30000.0,0,0,0.26374742,0.20251971,0.13006268,0.16352957
-21000.0,-30000.0,0,0,0.43040463,0.07203331,0.06304162,0.34060928
-21000.0,-24000.0,0,0,0.42507273,0.07289067,0.06511921,0.33793515
-21000.0,-18000.0,0,0,0.41975814,0.07628629,0.06717954,0.32781735
-21000.0,-12000.0,0,0,0.40905568,0.081120744,0.071302235,0.31458926
-21000.0,-6000.0,0,0,0.39966875,0.08623295,0.0748964,0.30190125
-21000.0,0.0,0,0,0.3932925,0.089775935,0.07733024,0.29378885
-21000.0,6000.0,0,0,0.37013775,0.09406494,0.08615867,0.28462404
-21000.0,12000.0,0,0,0.3412728,0.11564589,0.09728888,0.24693361
-21000.0,18000.0,0,0,0.28758246,0.1530252,0.11927457,0.20235392
-21000.0,24000.0,0,0,0.24411958,0.21379675,0.13970387,0.15650058
-21000.0,30000.0,0,0,0.20177306,0.26720303,0.16401318,0.12844287
-14000.0,-30000.0,0,0,0.4113312,0.08314873,0.07042825,0.30940756
-14000.0,-24000.0,0,0,0.40543228,0.086722404,0.07269157,0.3007493
-14000.0,-18000.0,0,0,0.39789128,0.09143355,0.07557534,0.290166
-14000.0,-12000.0,0,0,0.38494277,0.10008028,0.08051268,0.27283335
-14000.0,-6000.0,0,0,0.37471485,0.109446205,0.084411316,0.2565512
-14000.0,0.0,0,0,0.35467938,0.1146182,0.09208816,0.2484712
-14000.0,6000.0,0,0,0.32130408,0.15212734,0.1051987,0.20322406
-14000.0,12000.0,0,0,0.26682368,0.19532716,0.12861969,0.16829088
-14000.0,18000.0,0,0,0.22550507,0.26827246,0.14969015,0.12794577
-14000.0,24000.0,0,0,0.17850363,0.3073619,0.18043788,0.1108857
-14000.0,30000.0,0,0,0.16114031,0.33751905,0.19482191,0.09875872
-7000.0,-30000.0,0,0,0.39317983,0.108460516,0.0773732,0.25815964
-7000.0,-24000.0,0,0,0.389559,0.1161305,0.078753605,0.24621604
-7000.0,-18000.0,0,0,0.38384154,0.123463556,0.08093228,0.23590042
-7000.0,-12000.0,0,0,0.36904064,0.13435054,0.08657792,0.22223029
-7000.0,-6000.0,0,0,0.34337822,0.14504243,0.09646738,0.21037263
-7000.0,0.0,0,0,0.31452706,0.17202672,0.10794314,0.1855559
-7000.0,6000.0,0,0,0.25950485,0.2214531,0.13208091,0.15199582
-7000.0,12000.0,0,0,0.21754003,0.2768226,0.15427302,0.12403834
-7000.0,18000.0,0,0,0.17014869,0.31795782,0.1870923,0.1065494
-7000.0,24000.0,0,0,0.15350713,0.35690165,0.20189011,0.09123216
-7000.0,30000.0,0,0,0.14654417,0.37075236,0.2088138,0.085923895
0.0,-30000.0,0,0,0.377099,0.12160558,0.083502,0.23842189
0.0,-24000.0,0,0,0.37319836,0.12756068,0.084989965,0.23054372
0.0,-18000.0,0,0,0.36173135,0.133763,0.08937646,0.22292377
0.0,-12000.0,0,0,0.32638258,0.1474134,0.10316405,0.20792255
0.0,-6000.0,0,0,0.2906087,0.19196019,0.11796236,0.17060256
0.0,0.0,0,0,0.23194294,0.23194294,0.14612928,0.14612928
0.0,6000.0,0,0,0.19196019,0.2906087,0.17060256,0.11796236
0.0,12000.0,0,0,0.1474134,0.32638258,0.20792255,0.10316405
0.0,18000.0,0,0,0.133763,0.36173135,0.22292377,0.08937646
0.0,24000.0,0,0,0.12756068,0.37319836,0.23054372,0.084989965
0.0,30000.0,0,0,0.12160558,0.377099,0.23842189,0.083502
7000.0,-30000.0,0,0,0.37075236,0.14654417,0.085923895,0.2088138
7000.0,-24000.0,0,0,0.35690165,0.15350713,0.09123216,0.20189011
7000.0,-18000.0,0,0,0.31795782,0.17014869,0.1065494,0.1870923
7000.0,-12000.0,0,0,0.2768226,0.21754003,0.12403834,0.15427302
7000.0,-6000.0,0,0,0.2214531,0.25950485,0.15199582,0.13208091
7000.0,0.0,0,0,0.17202672,0.31452706,0.1855559,0.10794314
7000.0,6000.0,0,0,0.14504243,0.34337822,0.21037263,0.09646738
7000.0,12000.0,0,0,0.13435054,0.36904064,0.22223029,0.08657792
7000.0,18000.0,0,0,0.123463556,0.38384154,0.23590042,0.08093228
7000.0,24000.0,0,0,0.1161305,0.389559,0.24621604,0.078753605
7000.0,30000.0,0,0,0.108460516,0.39317983,0.25815964,0.0773732
14000.0,-30000.0,0,0,0.33751905,0.16114031,0.09875872,0.19482191
14000.0,-24000.0,0,0,0.3073619,0.17850363,0.1108857,0.18043788
14000.0,-18000.0,0,0,0.26827246,0.22550507,0.12794577,0.14969015
14000.0,-12000.0,0,0,0.19532716,0.26682368,0.16829088,0.12861969
14000.0,-6000.0,0,0,0.15212734,0.32130408,0.20322406,0.1051987
14000.0,0.0,0,0,0.1146182,0.35467938,0.2484712,0.09208816
14000.0,6000.0,0,0,0.109446205,0.37471485,0.2565512,0.084411316
14000.0,12000.0,0,0,0.10008028,0.38494277,0.27283335,0.08051268
14000.0,18000.0,0,0,0.09143355,0.39789128,0.290166,0.07557534
14000.0,24000.0,0,0,0.086722404,0.40543228,0.3007493,0.07269157
14000.0,30000.0,0,0,0.08314873,0.4113312,0.30940756,0.07042825
21000.0,-30000.0,0,0,0.26720303,0.20177306,0.12844287,0.16401318
21000.0,-24000.0,0,0,0.21379675,0.24411958,0.15650058,0.13970387
21000.0,-18000.0,0,0,0.1530252,0.28758246,0.20235392,0.11927457
21000.0,-12000.0,0,0,0.11564589,0.3412728,0.24693361,0.09728888
21000.0,-6000.0,0,0,0.09406494,0.37013775,0.28462404,0.08615867
21000.0,0.0,0,0,0.089775935,0.3932925,0.29378885,0.07733024
21000.0,6000.0,0,0,0.08623295,0.39966875,0.30190125,0.0748964
21000.0,12000.0,0,0,0.081120744,0.40905568,0.31458926,0.071302235
21000.0,18000.0,0,0,0.07628629,0.41975814,0.32781735,0.06717954
21000.0,24000.0,0,0,0.07289067,0.42507273,0.33793515,0.06511921
21000.0,30000.0,0,0,0.07203331,0.43040463,0.34060928,0.06304162
28000.0,-30000.0,0,0,0.20251971,0.26374742,0.16352957,0.13006268
28000.0,-24000.0,0,0,0.1476293,0.309275,0.20770237,0.1100956
28000.0,-18000.0,0,0,0.11215502,0.36375,0.2522462,0.08860251
28000.0,-12000.0,0,0,0.093867525,0.39260212,0.28503126,0.07759352
28000.0,-6000.0,0,0,0.09047555,0.41207603,0.29224688,0.070141904
28000.0,0.0,0,0,0.08676588,0.41979453,0.30064744,0.06716545
28000.0,6000.0,0,0,0.08451751,0.4268255,0.30602252,0.064437464
28000.0,12000.0,0,0,0.08315502,0.43219686,0.30939174,0.062340688
28000.0,18000.0,0,0,0.07820966,0.44043326,0.32239887,0.059100643
28000.0,24000.0,0,0,0.07353482,0.44179323,0.3359586,0.05856248
28000.0,30000.0,0,0,0.07220894,0.44179323,0.34005725,0.05856248
35000.0,-30000.0,0,0,0.14555536,0.33184162,0.20983742,0.10099563
35000.0,-24000.0,0,0,0.10875661,0.37648994,0.25767413,0.08373427
35000.0,-18000.0,0,0,0.09273708,0.40445662,0.28738943,0.073065214
35000.0,-12000.0,0,0,0.09118007,0.41860574,0.29071307,0.06762504
35000.0,-6000.0,0,0,0.08738635,0.4254734,0.29920292,0.064963475
35000.0,0.0,0,0,0.08512337,0.43221292,0.30455184,0.062334385
35000.0,6000.0,0,0,0.0829137,0.4382631,0.3099977,0.0599575
35000.0,12000.0,0,0,0.08338649,0.44084173,0.3088132,0.0589391
35000.0,18000.0,0,0,0.0801773,0.44179323,0.31707072,0.05856248
35000.0,24000.0,0,0,0.07539444,0.44179323,0.33040446,0.05856248
35000.0,30000.0,0,0,0.07238497,0.44179323,0.33950633,0.05856248
