q_bond_0,q_bond_5,critic_value
-35000.0,-30000.0,-10050.677
-35000.0,-24000.0,-8119.172
-35000.0,-18000.0,-6187.668
-35000.0,-12000.0,-4408.8423
-35000.0,-6000.0,-3587.118
-35000.0,0.0,-3033.802
-35000.0,6000.0,-2874.7483
-35000.0,12000.0,-2870.7693
-35000.0,18000.0,-3487.8513
-35000.0,24000.0,-5028.826
-35000.0,30000.0,-6570.6445
-28000.0,-30000.0,-9171.306
-28000.0,-24000.0,-7239.803
-28000.0,-18000.0,-5308.2993
-28000.0,-12000.0,-3475.0818
-28000.0,-6000.0,-2679.991
-28000.0,0.0,-2212.7483
-28000.0,6000.0,-2048.9202
-28000.0,12000.0,-2060.6987
-28000.0,18000.0,-3008.2488
-28000.0,24000.0,-4550.068
-28000.0,30000.0,-6386.775
-21000.0,-30000.0,-8291.9375
-21000.0,-24000.0,-6360.434
-21000.0,-18000.0,-4428.93
-21000.0,-12000.0,-2558.5725
-21000.0,-6000.0,-1772.8638
-21000.0,0.0,-1391.6947
-21000.0,6000.0,-1223.0924
-21000.0,12000.0,-1444.5668
-21000.0,18000.0,-2529.49
-21000.0,24000.0,-4356.586
-21000.0,30000.0,-6272.026
-14000.0,-30000.0,-7514.1543
-14000.0,-24000.0,-5516.319
-14000.0,-18000.0,-3549.5613
-14000.0,-12000.0,-1697.9879
-14000.0,-6000.0,-960.09076
-14000.0,0.0,-570.6411
-14000.0,6000.0,-553.3152
-14000.0,12000.0,-867.1675
-14000.0,18000.0,-2326.3972
-14000.0,24000.0,-4241.8374
-14000.0,30000.0,-6157.277
-7000.0,-30000.0,-7010.5356
-7000.0,-24000.0,-5012.7
-7000.0,-18000.0,-3014.8645
-7000.0,-12000.0,-1221.3981
-7000.0,-6000.0,-527.16205
-7000.0,0.0,-227.42888
-7000.0,6000.0,-295.5578
-7000.0,12000.0,-783.22186
-7000.0,18000.0,-2211.648
-7000.0,24000.0,-4127.0884
-7000.0,30000.0,-6042.5283
0.0,-30000.0,-6665.2354
0.0,-24000.0,-4657.859
0.0,-18000.0,-2650.4822
0.0,-12000.0,-917.2964
0.0,-6000.0,-320.39203
0.0,0.0,-112.54634
0.0,6000.0,-307.39658
0.0,12000.0,-879.4207
0.0,18000.0,-2501.3218
0.0,24000.0,-4340.889
0.0,30000.0,-6180.456
7000.0,-30000.0,-6374.2495
7000.0,-24000.0,-4366.8726
7000.0,-18000.0,-2359.4954
7000.0,-12000.0,-775.7219
7000.0,-6000.0,-342.9045
7000.0,0.0,-261.80115
7000.0,6000.0,-567.7799
7000.0,12000.0,-1197.7191
7000.0,18000.0,-2974.955
7000.0,24000.0,-4814.5225
7000.0,30000.0,-6654.0894
14000.0,-30000.0,-6287.373
14000.0,-24000.0,-4266.7227
14000.0,-18000.0,-2250.5696
14000.0,-12000.0,-867.78503
14000.0,-6000.0,-603.1166
14000.0,0.0,-659.98914
14000.0,6000.0,-1022.5502
14000.0,12000.0,-1720.2161
14000.0,18000.0,-3546.5095
14000.0,24000.0,-5372.803
14000.0,30000.0,-7199.097
21000.0,-30000.0,-6486.4043
21000.0,-24000.0,-4465.7544
21000.0,-18000.0,-2682.2722
21000.0,-12000.0,-1376.6932
21000.0,-6000.0,-1289.6752
21000.0,0.0,-1514.0165
21000.0,6000.0,-1874.3641
21000.0,12000.0,-2683.867
21000.0,18000.0,-4510.1606
21000.0,24000.0,-6336.4546
21000.0,30000.0,-8162.748
28000.0,-30000.0,-6685.436
28000.0,-24000.0,-4864.066
28000.0,-18000.0,-3331.9695
28000.0,-12000.0,-2294.8982
28000.0,-6000.0,-2153.4888
28000.0,0.0,-2368.0437
28000.0,6000.0,-2728.3914
28000.0,12000.0,-3647.5183
28000.0,18000.0,-5473.8125
28000.0,24000.0,-7300.106
28000.0,30000.0,-9126.399
35000.0,-30000.0,-7045.859
35000.0,-24000.0,-5504.151
35000.0,-18000.0,-4127.6816
35000.0,-12000.0,-3213.103
35000.0,-6000.0,-3017.3025
35000.0,0.0,-3222.071
35000.0,6000.0,-3582.4187
35000.0,12000.0,-4611.17
35000.0,18000.0,-6437.4634
35000.0,24000.0,-8263.757
35000.0,30000.0,-10090.051
